Order,FileName,Trace_Number,Ra,Stimulation_Type,First_Peak,Total_Area
1,2020_02_13_0019.abf,1,36.35476,control,-112.7929611,-2612.296143
2,2020_02_13_0019.abf,2,37.01136,control,-111.4783554,-3102.091797
3,2020_02_13_0019.abf,3,36.16099,control,-128.2395477,-3642.967285
4,2020_02_13_0019.abf,4,37.4727,control,-141.7142181,-2368.182861
5,2020_02_13_0019.abf,5,37.86326,control,-98.0694046,-3645.494629
6,2020_02_13_0019.abf,6,37.01386,control,-112.736618,-2644.590088
7,2020_02_13_0019.abf,7,38.22724,control,-146.2120361,-3971.376465
8,2020_02_13_0019.abf,8,39.40972,control,-156.6067963,-3115.705566
9,2020_02_13_0019.abf,9,40.27631,control,-127.8263931,-2177.329346
10,2020_02_13_0019.abf,10,40.80647,control,-141.9395905,-3616.557617
11,2020_02_13_0019.abf,11,41.15704,control,-142.8410339,-3443.151855
12,2020_02_13_0020.abf,1,42.21997,control,-114.9983673,-3222.22583
13,2020_02_13_0020.abf,2,41.97887,monochromator,-123.5107346,-1412.05542
14,2020_02_13_0020.abf,3,42.4774,monochromator,-86.73501587,-1745.871216
15,2020_02_13_0020.abf,4,43.43466,monochromator,-97.98176575,-1487.332153
16,2020_02_13_0020.abf,5,43.20702,monochromator,-92.63508606,-1957.21521
17,2020_02_13_0020.abf,6,43.99565,monochromator,-66.48762512,-1296.583496
18,2020_02_13_0020.abf,7,45.29488,monochromator,-136.3037109,-2480.806396
19,2020_02_13_0020.abf,8,46.04368,monochromator,-62.04426956,-1594.958008
20,2020_02_13_0020.abf,9,46.28004,monochromator,-92.08170319,-1232.402832
21,2020_02_13_0020.abf,10,46.90414,monochromator,-99.25943756,-1935.883667
22,2020_02_13_0021.abf,1,47.20915,control,-108.6807098,-2240.651367
23,2020_02_13_0021.abf,2,46.76264,control,-71.30432129,-2556.306641
24,2020_02_13_0021.abf,3,47.42292,control,-118.9269867,-1525.109497
25,2020_02_13_0021.abf,4,47.68884,control,-125.9536591,-2219.47583
26,2020_02_13_0021.abf,5,46.96971,control,-142.3110809,-2557.405518
27,2020_02_13_0021.abf,6,48.15521,control,-96.93908691,-1934.759399
28,2020_02_13_0021.abf,7,47.84727,control,-100.227356,-1499.752686
29,2020_02_13_0021.abf,8,46.59003,control,-95.4818573,-2650.102783
30,2020_02_13_0021.abf,9,46.95838,control,-99.75431824,-2611.955566
31,2020_02_13_0021.abf,10,48.18751,control,-96.77886963,-2289.703613
32,2020_02_13_0021.abf,11,46.67018,control,-109.5352173,-2227.560059
33,2020_02_13_0021.abf,12,49.38068,control,-96.08459473,-2446.789307
34,2020_02_13_0021.abf,13,48.94772,control,-117.3248138,-2460.363037
35,2020_02_13_0021.abf,14,49.39474,control,-91.46881104,-2410.501953
36,2020_02_13_0021.abf,15,50.78014,control,-104.5837402,-2218.237549
37,2020_02_13_0021.abf,16,50.474,control,-102.5924683,-2469.144531
38,2020_02_13_0021.abf,17,50.66624,control,-70.54138184,-1703.696777
39,2020_02_13_0021.abf,18,51.249,control,-130.5389252,-2863.114258
40,2020_02_13_0022.abf,1,54.75514,control,-116.3904495,-2987.57959
41,2020_02_13_0022.abf,2,54.55529,control,-69.55135345,-2075.045654
42,2020_02_13_0022.abf,3,53.78179,control,-101.9071655,-2824.959473
43,2020_02_13_0022.abf,4,55.20431,control,-126.6012573,-2922.58252
44,2020_02_13_0022.abf,5,54.77626,control,-107.3428879,-2509.807861
45,2020_02_13_0022.abf,6,54.69047,control,-130.2059174,-2500.927979
46,2020_02_13_0022.abf,7,54.87576,control,-100.600296,-2119.327148
47,2020_02_13_0022.abf,8,54.94512,control,-115.5934067,-2313.800537
48,2020_02_13_0022.abf,9,55.10576,control,-107.3644333,-2436.18042
49,2020_02_13_0022.abf,10,54.89414,control,-82.29693604,-1950.326416
50,2020_02_13_0022.abf,11,55.02461,control,-153.6434174,-3339.85083
51,2020_02_13_0022.abf,12,55.64854,control,-119.2842255,-2194.754395
52,2020_02_13_0022.abf,13,55.57739,control,-109.525795,-1766.615601
53,,1,,control,-127.9558334,-2413.887207
54,,2,,laser,-91.25627899,-2589.249512
55,,3,,laser,-83.80126953,-2233.638916
56,,4,,laser,-105.4600296,-2615.416748
57,,5,,laser,-77.98548889,-2801.482422
58,,6,,laser,-89.90477753,-1965.998047
59,,7,,laser,-88.75383759,-2948.289795
60,,8,,laser,-76.48576355,-2165.859375
61,,9,,laser,-77.49720764,-1499.973267
62,,10,,laser,-47.09298325,-2485.365479
63,,11,,laser,-85.57128906,-2194.270996
64,2020_02_13_0024.abf,1,57.56853,control,-103.8876495,-2532.783447
65,2020_02_13_0024.abf,2,58.38673,control,-91.6224823,-1584.265137
66,2020_02_13_0024.abf,3,58.80088,control,-114.031105,-2463.092529
67,2020_02_13_0024.abf,4,58.55366,control,-85.12368774,-2488.354248
68,2020_02_13_0024.abf,5,57.93735,control,-92.81411743,-2534.843262
69,2020_02_13_0024.abf,6,59.52217,control,-106.2244186,-2990.620117
70,2020_02_13_0024.abf,7,59.19327,control,-61.04096985,-1849.539795
71,2020_02_13_0024.abf,8,59.4003,control,-67.9466629,-1790.112305
72,2020_02_13_0024.abf,9,58.55612,control,-104.6781921,-2999.270752
73,2020_02_13_0024.abf,10,59.00518,control,-65.20879364,-2775.794189
74,2020_02_13_0024.abf,11,58.57829,control,-103.8934555,-2738.66333
75,2020_02_13_0024.abf,12,58.99768,control,-88.33239746,-1131.881104
76,2020_02_13_0024.abf,13,58.77111,control,-75.57314301,-2089.217041
77,2020_02_13_0024.abf,14,58.80585,control,-91.62248993,-2613.162598
78,2020_02_13_0024.abf,15,58.50692,control,-89.91931152,-1911.510132
79,2020_02_13_0024.abf,16,57.79309,control,-106.6661911,-2517.487061
80,2020_02_13_0024.abf,17,58.04118,control,-89.42521667,-2518.154541
81,2020_02_13_0025.abf,1,54.10956,control,-154.7161407,-3245.878662
82,2020_02_13_0025.abf,2,54.86306,monochromator,-70.48764038,-573.9571533
83,2020_02_13_0025.abf,3,53.24966,monochromator,-66.27355957,-2181.474121
84,2020_02_13_0025.abf,4,53.89841,monochromator,-75.28022003,-1116.007202
85,2020_02_13_0025.abf,5,52.68635,monochromator,-82.92288971,-980.4443359
86,2020_02_13_0025.abf,6,53.66101,monochromator,-89.58898926,-1338.682251
87,2020_02_13_0025.abf,7,53.30582,monochromator,-41.13238144,-683.9724731
88,2020_02_13_0025.abf,8,53.77641,monochromator,-105.8561859,-1918.221924
89,2020_02_13_0025.abf,9,53.91431,monochromator,-64.85648346,-1750.025513
90,2020_02_13_0025.abf,10,53.40288,monochromator,-43.36680222,-1691.044922
91,2020_02_13_0025.abf,11,52.94585,monochromator,-85.3059082,-2057.06958
92,2020_02_13_0025.abf,12,53.15672,monochromator,-82.34437561,-1248.462036
93,2020_02_13_0025.abf,13,53.86664,monochromator,-70.08427429,-1056.111938
