Cell,Ra,Stimulation_Type,First_Peak,Total_Area
3,NA,c,-127.9558334,-2413.887207
3,NA,l,-91.25627899,-2589.249512
3,NA,l,-83.80126953,-2233.638916
3,NA,l,-105.4600296,-2615.416748
3,NA,l,-77.98548889,-2801.482422
3,NA,l,-89.90477753,-1965.998047
3,NA,l,-88.75383759,-2948.289795
3,NA,l,-76.48576355,-2165.859375
3,NA,l,-77.49720764,-1499.973267
3,NA,l,-47.09298325,-2485.365479
3,NA,l,-85.57128906,-2194.270996
3,57.56853,c,-103.8876495,-2532.783447
3,58.38673,c,-91.6224823,-1584.265137
3,58.80088,c,-114.031105,-2463.092529
3,58.55366,c,-85.12368774,-2488.354248
3,57.93735,c,-92.81411743,-2534.843262
3,59.52217,c,-106.2244186,-2990.620117
3,59.19327,c,-61.04096985,-1849.539795
3,59.4003,c,-67.9466629,-1790.112305
3,58.55612,c,-104.6781921,-2999.270752
3,59.00518,c,-65.20879364,-2775.794189
3,58.57829,c,-103.8934555,-2738.66333
3,58.99768,c,-88.33239746,-1131.881104
3,58.77111,c,-75.57314301,-2089.217041
3,58.80585,c,-91.62248993,-2613.162598
3,58.50692,c,-89.91931152,-1911.510132
3,57.79309,c,-106.6661911,-2517.487061
3,58.04118,c,-89.42521667,-2518.154541
3,54.10956,c,-154.7161407,-3245.878662
3,54.86306,m,-70.48764038,-573.9571533
3,53.24966,m,-66.27355957,-2181.474121
3,53.89841,m,-75.28022003,-1116.007202
3,52.68635,m,-82.92288971,-980.4443359
3,53.66101,m,-89.58898926,-1338.682251
3,53.30582,m,-41.13238144,-683.9724731
3,53.77641,m,-105.8561859,-1918.221924
3,53.91431,m,-64.85648346,-1750.025513
3,53.40288,m,-43.36680222,-1691.044922
3,52.94585,m,-85.3059082,-2057.06958
3,53.15672,m,-82.34437561,-1248.462036
3,53.86664,m,-70.08427429,-1056.111938
4,27.12075,c,-75.87889862,-1069.492142
4,27.80145,c,-27.96630669,-378.909471
4,28.03101,c,-83.31298065,-1053.113129
4,28.60987,c,-65.41747284,-733.9811707
4,30.1567,c,-59.64354706,-799.1429901
4,30.8121,c,-101.7455978,-1552.562927
4,31.71026,c,-119.0307465,-1111.459225
4,34.0433,c,-136.4013519,-1411.94038
4,36.72397,c,-161.816391,-1990.639709
4,38.39661,c,-118.7743988,-1652.093719
4,39.21984,c,-100.0121994,-2016.270233
4,38.52143,c,-95.99608612,-1149.532684
4,38.43891,c,-127.3071136,-1944.386963
4,39.10425,c,-124.0478363,-1661.170517
4,39.30575,c,-152.8808441,-2218.172363
4,40.82685,c,-170.9317169,-2144.688385
4,41.22856,m,-71.03382111,-1141.581497
4,40.76478,m,-176.9020691,-2513.455078
4,40.65417,m,-162.1426544,-1915.763733
4,41.68996,m,-116.2109222,-1508.166595
4,41.074,m,-122.3255386,-1689.41188
4,41.5826,m,-100.35289,-1106.849606
4,41.89535,m,-137.8839569,-1682.480835
4,40.94535,m,-203.8241119,-1956.623276
4,40.60481,m,-147.6828766,-1984.676575
4,40.77707,m,-113.9692688,-1487.371101
4,41.05587,m,-162.2314301,-1968.609634
4,40.62291,m,-179.7207794,-2137.151291
4,40.21311,m,-101.1740875,-1400.887085
4,40.25836,c,-162.1315613,-1743.771896
4,41.85388,c,-146.9615479,-1948.057236
4,40.38026,c,-159.6457672,-1932.838989
4,42.66032,c,-133.5116119,-1853.314499
4,43.1385,c,-157.481781,-1917.171204
4,43.12228,c,-161.5988922,-2223.891785
4,43.20024,c,-102.6833191,-1938.16861
4,44.17533,c,-224.9755707,-2500.835388
4,43.70399,c,-203.1915741,-2916.605591
4,42.78445,c,-161.3103485,-2075.23996
4,43.22955,c,-170.1327057,-1978.852448
4,43.81418,c,-193.7477722,-2548.453186
4,43.83093,c,-204.2902069,-2372.043106
4,43.79411,c,-143.8875885,-1752.863003
4,45.07195,c,-176.3671722,-2447.638611
4,44.6674,m,-112.0117035,-1772.395844
4,45.35412,m,-117.1264496,-1485.333149
4,45.5988,m,-214.562973,-2777.958588
4,44.18922,m,-154.3578949,-1776.281303
4,46.86705,m,-112.1826019,-1691.009247
4,46.47639,m,-81.93358612,-1091.838264
4,46.79292,m,-131.4086761,-1892.077179
4,46.02446,m,-72.119133,-1073.57933
4,46.45207,m,-170.3857269,-1868.543427
4,46.18414,m,-157.4951019,-1908.25647
4,44.58578,c,-188.3988647,-2431.636597
4,44.88768,c,-160.333786,-1582.143799
4,45.22754,c,-188.4432526,-2493.735596
4,45.85686,c,-126.9087219,-2261.92984
4,45.8367,c,-150.9232788,-1745.894562
4,45.70882,c,-143.1329803,-2098.403778
4,46.11871,c,-129.3834229,-2087.346649
4,47.28038,c,-136.252655,-1965.704865
4,47.30573,c,-163.8960266,-2058.182442
4,48.15384,c,-162.2536316,-2345.49588
4,47.89843,c,-177.2793732,-2402.582932
4,47.24726,m,-63.79837799,-1146.933319
4,46.6382,m,-138.2723541,-1862.711624
4,47.62989,m,-132.7237091,-1676.789719
4,47.49379,m,-88.52316284,-1342.969574
4,47.84648,m,-114.1801147,-1320.534821
4,47.12302,m,-161.33255,-1604.233498
4,47.45253,m,-93.26171112,-1138.153015
4,48.1498,m,-99.09889221,-1442.302277
4,48.69152,m,-152.4880066,-1857.3853
4,47.57029,c,-138.9270935,-1800.110291
4,47.23202,c,-95.70311737,-1821.660583
4,47.17536,c,-142.9443207,-1874.377457
4,47.46464,c,-158.4028625,-1964.926636
4,46.90972,c,-164.7505188,-2105.228287
4,46.67807,c,-145.9738922,-1953.605438
4,46.60725,c,-158.0810394,-2266.772293
4,47.20027,c,-106.9668808,-1987.378937
4,45.45219,c,-169.7886963,-2171.153748
4,46.99269,c,-103.1050186,-1382.047356
4,46.75355,c,-94.52680206,-1530.806274
4,47.06018,c,-162.6864166,-2184.391785
5,42.11763,c,NA,-1991.371216
5,41.28425,c,NA,-2108.280273
5,41.17811,c,NA,-1855.703857
5,40.78525,c,NA,-2158.34668
5,41.01898,c,NA,-1665.767944
5,40.96177,c,NA,-2085.489746
5,41.16059,c,NA,-1926.633545
5,41.11512,c,NA,-2150.787842
5,41.1789,c,NA,-2390.534424
5,41.30756,c,NA,-1788.085449
5,41.81185,m,NA,-1485.472656
5,42.89747,m,NA,-1845.617676
5,43.21744,m,NA,-1396.78833
5,43.60977,m,NA,-1381.638062
5,43.5118,m,NA,-1542.604858
5,45.16035,m,NA,-1080.130493
5,44.59108,m,NA,-1787.215698
5,44.84217,m,NA,-1633.323486
5,45.46133,m,NA,-1686.169678
5,45.20876,m,NA,-1845.212769
5,45.5792,c,NA,-1260.364868
5,45.39792,c,NA,-1458.917847
5,46.10005,c,NA,-1653.556519
5,46.65898,c,NA,-1324.900879
5,46.35053,c,NA,-1936.198975
5,46.50626,c,NA,-2089.321777
